cod_modelo_color,cod_color_code,des_product_type,sex_Female,sex_Male,sex_Unisex,age_Adult,age_Kids,line_HE,line_KIDS,line_SHE,line_VIOLETA,fabric_C-COMPLEMENTOS,fabric_J-JEANS,fabric_K-CIRCULAR,fabric_L-PIEL,fabric_O-POLIPIEL,fabric_P-PLANA,fabric_T-TRICOT
41085800-02,2,Trousers,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53000586-TO,52,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53030601-81,81,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53050730-15,15,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53070773-70,70,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53003736-94,94,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53045718-17,17,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53050926-37,37,Skirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
53085736-96,96,Sweater,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53015770-02,2,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57007891-05,5,Earrings,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57064001-02,2,Jeans,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57067700-74,74,Dress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
47086303-08,8,Totes bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040032-32,32,Sunglasses,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57040164-99,99,Card holder,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57020260-83,83,Wallet,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57050281-TM,52,Shorts,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
57062516-99,99,Top,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57012888-12,12,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
57084018-99,99,Belt,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57085800-01,1,Shirt,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57004787-07,7,Crossbody bag,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
57083821-99,99,Dress,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
